n, time
201, 0
401, 10
601, 10
801, 30
1001, 50
1201, 140
1401, 100
1601, 120
1801, 150
2001, 200
2201, 250
2401, 290
2601, 580
2801, 440
3001, 520
3201, 590
3401, 700
3601, 800
3801, 970
4001, 760
4201, 1000
4401, 1100
4601, 2020
4801, 1630
5001, 1330
5201, 1910
5401, 1670
5601, 1910
5801, 2330
6001, 2651
6201, 2990
6401, 2410
6601, 2560
6801, 2680
7001, 3500
7201, 3470
7401, 3240
7601, 4030
7801, 4630
8001, 4850
8201, 4270
8401, 4790
8601, 6000
8801, 4610
9001, 5260
9201, 8690
9401, 6240
9601, 5910
9801, 7880
10001, 6410
