n, time
201, 0
401, 10
601, 10
801, 20
1001, 30
1201, 50
1401, 70
1601, 90
1801, 90
2001, 130
2201, 160
2401, 170
2601, 190
2801, 240
3001, 280
3201, 310
3401, 350
3601, 400
3801, 440
4001, 500
4201, 530
4401, 600
4601, 650
4801, 700
5001, 770
5201, 810
5401, 950
5601, 960
5801, 1100
6001, 1072
6201, 1170
6401, 1220
6601, 1400
6801, 1460
7001, 1550
7201, 1650
7401, 1630
7601, 1810
7801, 1900
8001, 2010
8201, 2130
8401, 2210
8601, 2310
8801, 2567
9001, 2630
9201, 2630
9401, 2890
9601, 2980
9801, 3020
10001, 3100
