"MEAN_PTPRN2"
"MEAN_PRDM16"
"MEAN_MAD1L1"
"MEAN_TNXB"
"MEAN_DIP2C"
"MEAN_RPTOR"
"MEAN_HDAC4"
"MEAN_INPP5A"
"MEAN_ADARB2"
"MEAN_ATP11A"
"MEAN_RASA3"
"MEAN_MCF2L"
"MEAN_TBCD"
"MEAN_AGAP1"
"MEAN_SDK1"
"MEAN_SHANK2"
"MEAN_COL11A2"
"MEAN_PRKCZ"
"MEAN_CAMTA1"
"MEAN_RPS6KA2"
"MEAN_C7orf50"
"MEAN_ANKRD11"
"MEAN_CUX1"
"MEAN_KCNQ1"
"MEAN_NCOR2"
"MEAN_GALNT9"
"MEAN_CBFA2T3"
"MEAN_ARHGEF10"
"MEAN_PRKAR1B"
"MEAN_LMF1"
"MEAN_TRAPPC9"
"MEAN_TRIM26"
"MEAN_NXN"
"MEAN_BANP"
"MEAN_DLGAP2"
"MEAN_BRD2"
"MEAN_GABBR1"
"MEAN_FOXK1"
"MEAN_MYT1L"
"MEAN_RBFOX3"
"MEAN_CASZ1"
"MEAN_SLC12A7"
"MEAN_EBF3"
"MEAN_NTM"
"MEAN_CACNA1H"
"MEAN_NFATC1"
"MEAN_EHMT2"
"MEAN_MGMT"
"MEAN_SMOC2"
"MEAN_SORCS2"
"MEAN_ABR"
"MEAN_PRRC2A"
"MEAN_GPR133"
"MEAN_SEPT9"
"MEAN_LRP5"
"MEAN_PLEC"
"MEAN_TSNARE1"
"MEAN_CACNA1C"
"MEAN_GAK"
"MEAN_SKI"
"MEAN_FBRSL1"
"MEAN_OPCML"
"MEAN_OBSCN"
"MEAN_TRIM27"
"MEAN_BCOR"
"MEAN_IGF1R"
"MEAN_KIF26B"
"MEAN_PRKAG2"
"MEAN_RGS12"
"MEAN_PCGF3"
"MEAN_TRIO"
"MEAN_NOTCH4"
"MEAN_SYNGAP1"
"MEAN_ODZ4"
"MEAN_RPH3AL"
"MEAN_STK32C"
"MEAN_B3GNTL1"
"MEAN_FOXP1"
"MEAN_KNDC1"
"MEAN_GNAS"
"MEAN_KLHL29"
"MEAN_ZFPM1"
"MEAN_TBC1D16"
"MEAN_MEGF6"
"MEAN_BAHCC1"
"MEAN_DNAH17"
"MEAN_EIF2C2"
"MEAN_BAIAP2"
"MEAN_COL23A1"
"MEAN_TNRC18"
"MEAN_KIAA0182"
"MEAN_ANK1"
